distribution,num_nodes,seed,run,hv
RC,1000,44,1,0.20579486445179224
RC,1000,44,2,0.21519387190875
RC,1000,44,3,0.21293696615428936
RC,1000,44,4,0.2000633804553094
RC,1000,44,5,0.17430686023226427
RC,1000,45,1,0.23503500486716666
RC,1000,45,2,0.20405270000618347
RC,1000,45,3,0.22882370137375047
RC,1000,45,4,0.20914745659793124
RC,1000,45,5,0.216771831482488
RC,1000,46,1,0.22698378238824554
RC,1000,46,2,0.20363905959672654
RC,1000,46,3,0.20990235657345188
RC,1000,46,4,0.18392112217302767
RC,1000,46,5,0.1970896354361725
